UnixTime,SensorID,PM1,PM2_5,PM10
1627584686.93,2,2,4,4
1627584687.55,1,4,8,10
1627584687.77,2,2,4,4
1627584688.40,1,4,8,10
1627584688.62,2,2,4,4
1627584689.24,1,4,8,10
1627584689.54,2,2,3,3
1627584690.16,1,4,8,10
1627584690.38,2,2,3,3
1627584691.01,1,4,8,10
1627584691.23,2,2,3,3
1627584691.86,1,4,8,10
1627584692.14,2,2,3,3
1627584692.77,1,4,7,10
1627584692.99,2,2,3,3
1627584693.62,1,4,7,10
1627584693.84,2,2,3,3
1627584694.47,1,4,7,10
1627584694.75,2,1,3,3
1627584695.38,1,4,7,9
1627584695.60,2,1,3,3
1627584696.23,1,4,7,9
1627584696.44,2,1,3,3
1627584697.08,1,4,7,9
1627584697.36,2,1,2,2
1627584698.00,1,4,7,9
1627584698.21,2,1,2,2
1627584698.84,1,4,7,9
1627584699.05,2,1,2,2
1627584699.69,1,4,7,9
1627584699.97,2,1,2,2
1627584700.61,1,4,6,8
1627584700.81,2,1,2,2
1627584701.45,1,3,5,7
1627584701.66,2,1,2,2
1627584702.30,1,3,5,7
1627584702.58,2,1,2,2
1627584703.22,1,2,5,6
1627584703.42,2,1,2,2
1627584704.07,1,2,5,6
1627584704.27,2,1,2,2
1627584704.91,1,2,5,6
1627584705.18,2,1,2,2
1627584705.83,1,2,5,6
1627584706.03,2,1,2,2
1627584706.68,1,2,5,6
1627584706.88,2,1,2,2
1627584707.53,1,2,5,6
1627584707.79,2,1,2,2
1627584708.44,1,3,6,6
1627584708.64,2,1,2,2
1627584709.29,1,3,6,6
1627584709.48,2,1,2,2
1627584710.14,1,3,6,6
1627584710.40,2,1,1,1
1627584711.06,1,3,5,5
1627584711.24,2,1,1,1
1627584711.90,1,3,5,5
1627584712.09,2,1,1,1
1627584712.75,1,3,5,5
1627584713.01,2,1,1,1
1627584713.67,1,4,7,7
1627584713.85,2,1,1,1
1627584714.51,1,4,7,7
1627584714.70,2,1,1,1
1627584715.36,1,4,7,7
1627584715.61,2,1,1,1
1627584716.28,1,4,6,6
1627584716.46,2,1,1,1
1627584717.13,1,4,6,6
1627584717.31,2,1,1,1
1627584717.97,1,4,6,6
1627584718.22,2,1,1,1
1627584718.89,1,4,7,7
1627584719.07,2,1,1,1
1627584719.74,1,3,6,6
1627584719.91,2,1,1,1
1627584720.58,1,3,6,6
1627584720.83,2,1,1,1
1627584721.50,1,3,6,6
1627584721.68,2,1,1,1
1627584722.35,1,3,6,6
1627584722.52,2,1,1,1
1627584723.20,1,4,7,7
1627584723.44,2,1,1,1
1627584724.11,1,4,7,7
1627584724.28,2,1,1,1
1627584724.96,1,4,7,7
1627584725.13,2,1,1,1
1627584725.81,1,3,6,6
1627584726.05,2,1,2,2
1627584726.73,1,3,6,6
1627584726.89,2,1,2,2
1627584727.57,1,3,6,6
1627584727.74,2,1,2,2
1627584728.42,1,3,6,6
1627584728.65,2,1,1,1
1627584729.34,1,3,6,6
1627584729.50,2,1,1,1
1627584730.19,1,3,6,6
1627584730.35,2,1,1,1
1627584731.03,1,3,6,6
1627584731.26,2,0,2,2
1627584731.95,1,4,7,7
1627584732.11,2,0,2,2
1627584732.80,1,4,7,7
1627584732.95,2,0,2,2
1627584733.65,1,4,7,7
1627584733.87,2,0,2,2
1627584734.56,1,3,6,6
1627584734.71,2,0,2,2
1627584735.41,1,3,6,6
1627584735.56,2,0,2,2
1627584736.26,1,3,6,6
1627584736.48,2,1,2,2
1627584737.18,1,3,6,6
1627584737.32,2,1,2,2
1627584738.02,1,4,7,7
1627584738.17,2,1,2,2
1627584738.87,1,4,7,7
1627584739.08,2,1,2,2
1627584739.79,1,4,8,8
1627584739.93,2,1,2,2
1627584740.63,1,4,8,8
1627584740.78,2,1,2,2
1627584741.48,1,4,8,8
1627584741.69,2,1,3,3
1627584742.40,1,4,8,9
1627584742.54,2,1,3,3
1627584743.25,1,4,8,9
1627584743.38,2,1,3,3
1627584744.09,1,4,8,9
1627584744.30,2,1,3,3
1627584745.01,1,4,8,9
1627584745.15,2,1,3,3
1627584745.86,1,4,8,9
1627584745.99,2,1,3,3
1627584746.71,1,4,8,9
1627584746.91,2,1,3,3
1627584747.62,1,4,8,10
1627584747.75,2,1,3,3
1627584748.47,1,4,8,10
1627584748.60,2,1,3,3
1627584749.32,1,4,8,10
1627584749.52,2,1,3,3
1627584750.24,1,4,8,10
1627584750.36,2,1,3,3
1627584751.08,1,4,8,10
1627584751.21,2,1,3,3
1627584751.93,1,4,8,10
1627584752.12,2,1,3,3
1627584752.85,1,4,8,10
1627584752.97,2,1,3,3
1627584753.70,1,4,8,10
1627584753.82,2,1,3,3
1627584754.54,1,4,8,10
1627584754.73,2,2,3,3
1627584755.46,1,4,8,10
1627584755.58,2,2,3,3
1627584756.31,1,4,8,10
1627584756.42,2,2,3,3
1627584757.15,1,4,8,10
